QUICK MENU, 0000 006D 000B 0000 0020 0021 0043 0021 0021 0021 0020 0021 0020 0021 0020 0044 0021 0021 0043 0044 0043 0044 0020 0021 0020 0DAC
SWAP, 0000 006D 000B 0000 0024 001E 0024 001E 0046 001E 0024 001E 0024 001E 0024 0040 0024 001E 0046 001E 0024 001E 0024 0040 0046 0DAC
YELLOW, 0000 006D 000B 0000 0021 0020 0046 001E 0021 0020 0021 0020 0022 0020 0021 0043 0021 0020 0021 0020 0046 001E 0022 0043 0046 0DAC
BLUE, 0000 006D 000B 0000 0023 001F 0023 001F 0042 0022 0023 001F 0023 001F 0023 0041 0023 001F 0023 001F 0042 0044 0042 0022 0023 0DAC
SUBTITLES, 0000 006D 000C 0000 0022 0020 0045 001F 0021 0020 0021 0020 0021 0020 0021 0043 0045 0042 0021 0020 0021 0020 0021 0020 0021 0020 0022 0DAC
FORWARD, 0000 006D 000B 0000 0022 0020 0044 0020 0022 0020 0022 0020 0022 0020 0022 0042 0044 0043 0022 0020 0022 0020 0044 0020 0022 0DAC
STOP, 0000 006D 000B 0000 0024 001D 0024 001E 0043 0022 0023 001E 0023 001E 0023 0041 0042 0044 0023 001E 0043 0022 0024 001E 0023 0DAC
PAUSE, 0000 006D 000C 0000 0022 0020 0022 0020 0042 0022 0022 0020 0022 0020 0022 0042 0022 0020 0022 0020 0042 0022 0022 0020 0022 0042 0022 0DAC
MEDIA BROWSER, 0000 006D 000C 0000 0020 0022 0045 001F 0020 0022 0020 0022 0020 0022 0020 0044 0020 0022 0020 0022 0020 0022 0045 001F 0020 0044 0020 0DAC
POWER TOGGLE, 0000 006D 000B 0000 0024 001E 0042 0022 0024 001D 0024 001E 0024 001E 0024 0040 0043 0022 0024 0040 0024 001E 0042 0022 0023 0DAC
DIGIT 1, 0000 006D 000C 0000 0021 0021 0020 0021 0045 001F 0021 0020 0020 0021 0021 0043 0045 001F 0020 0021 0020 0021 0020 0021 0021 0043 0020 0DAC
DIGIT 2, 0000 006D 000B 0000 0022 0020 0021 0021 0041 0023 0021 0021 0021 0021 0021 0043 0041 0023 0021 0021 0021 0021 0021 0043 0041 0DAC
DIGIT 3, 0000 006D 000C 0000 0023 001F 0045 001F 0022 0020 0023 001F 0022 0020 0022 0043 0045 001F 0023 001F 0023 001F 0023 0042 0023 001F 0023 0DAC
DIGIT 4, 0000 006D 000B 0000 0023 001F 0046 001E 0023 001F 0023 001F 0023 001F 0023 0042 0046 001E 0023 001F 0023 0042 0046 001E 0023 0DAC
DIGIT 5, 0000 006D 000B 0000 0024 001D 0042 0022 0024 001D 0024 001D 0024 001D 0024 0040 0042 0022 0024 001D 0024 0040 0043 0044 0024 0DAC
DIGIT 6, 0000 006D 000B 0000 0022 0020 0022 0020 0044 0020 0022 0020 0022 0020 0022 0042 0044 0020 0022 0020 0022 0042 0022 0020 0044 0DAC
DIGIT 7, 0000 006D 000C 0000 0025 001D 0042 0022 0025 001D 0025 001D 0025 001D 0025 0040 0042 0022 0025 001D 0025 0040 0025 001D 0025 001D 0025 0DAC
DIGIT 8, 0000 006D 000B 0000 0022 0020 0045 001F 0022 0020 0020 0022 0020 0022 0020 0044 0045 001F 0020 0044 0045 001F 0020 0022 0020 0DAC
DIGIT 9, 0000 006D 000B 0000 0024 001E 0024 001E 0045 001F 0024 001E 0024 001E 0024 0041 0045 0020 0024 0041 0045 0020 0024 0040 0024 0DAC
DIGIT 0, 0000 006D 000C 0000 0024 001E 0044 0020 0024 001E 0023 001E 0023 001E 0023 0041 0043 0021 0023 001E 0023 001E 0023 001E 0023 001E 0023 0DAC
